name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Prometheus,2012/I,"126,477,084","276,877,385","403,354,469"
The Mummy: Tomb of the Dragon Emperor,2008,"102,491,776","298,636,863","401,128,639"
Gone with the Wind,1939,"198,676,459","201,500,000","400,176,459"
Tron,2010,"172,062,763","228,000,000","400,062,763"
Mission: Impossible III,2006,"134,029,801","263,820,211","397,850,012"
Snow White and the Huntsman,2012,"155,332,381","241,260,448","396,592,829"
Grease,1978,"188,755,690","206,200,000","394,955,690"
Twilight,2008/I,"192,769,854","199,846,771","392,616,625"
The Wolf of Wall Street,2013,"116,900,694","275,100,000","392,000,694"
Superman Returns,2006,"200,081,192","191,000,000","391,081,192"
Zhuo yao ji,2015,"21,074","391,000,000","391,021,074"
Robin Hood: Prince of Thieves,1991,"165,500,000","224,993,908","390,493,908"
Raiders of the Lost Ark,1981,"248,159,971","141,766,000","389,925,971"
Independence Day: Resurgence,2016,"103,144,286","286,540,196","389,684,482"
Home,2015/II,"177,397,510","210,266,037","387,663,547"
Star Trek,2009,"257,730,019","127,950,427","385,680,446"
Happy Feet,2006,"198,000,317","186,335,291","384,335,608"
Live Free or Die Hard,2007,"134,529,403","249,700,000","384,229,403"
Ice Age,2002,"176,387,405","206,869,731","383,257,136"
Monsters vs. Aliens,2009,"198,351,526","183,158,344","381,509,870"
Back to the Future,1985,"210,609,762","170,500,000","381,109,762"
Godzilla,1998/I,"136,314,294","242,700,000","379,014,294"
Cars 3,2017,"152,901,115","226,066,412","378,967,527"
True Lies,1994,"146,282,411","232,600,000","378,882,411"
Mad Max: Fury Road,2015,"153,636,354","224,800,000","378,436,354"
Slumdog Millionaire,2008,"141,319,928","236,590,616","377,910,544"
The Mummy,1999,"155,247,825","221,400,000","376,647,825"
Taken 2,2012,"139,854,287","236,287,019","376,141,306"
Jurassic World: Dominion,2022,"376,009,080",0,"376,009,080"
G.I. Joe: Retaliation,2013,"122,523,060","253,217,645","375,740,705"
Fifty Shades Darker,2017,"114,434,010","260,195,097","374,629,107"
Batman Begins,2005,"206,852,432","167,366,241","374,218,673"
Toy Story,1995,"192,364,233","181,757,800","374,122,033"
What Women Want,2000,"182,811,707","191,300,000","374,111,707"
The Adventures of Tintin,2011,"77,591,831","296,402,120","373,993,951"
Penguins of Madagascar,2014,"83,348,920","290,201,183","373,550,103"
X-Men Origins: Wolverine,2009,"179,883,157","193,179,707","373,062,864"
The Golden Compass,2007,"70,107,728","302,127,136","372,234,864"
Terminator Salvation,2009,"125,322,469","246,030,532","371,353,001"
Captain America: The First Avenger,2011,"176,654,505","193,915,269","370,569,774"
There's Something About Mary,1998,"176,484,651","193,400,000","369,884,651"
The Batman,2022,"369,345,583",0,"369,345,583"
Gone Girl,2014,"167,767,189","201,563,174","369,330,363"
Edge of Tomorrow,2014,"100,206,256","269,000,000","369,206,256"
The Fugitive,1993,"183,875,760","185,000,000","368,875,760"
Jurassic Park III,2001,"181,171,875","187,608,934","368,780,809"
My Big Fat Greek Wedding,2002,"241,438,208","127,305,836","368,744,044"
Hitch,2005/I,"179,495,555","188,604,865","368,100,420"
Shark Tale,2004,"160,861,908","206,413,111","367,275,019"
Die Hard with a Vengeance,1995,"100,012,500","266,089,167","366,101,667"
Notting Hill,1999,"116,089,678","247,800,000","363,889,678"
A Bug's Life,1998,"162,798,565","200,600,000","363,398,565"
Night at the Museum: Secret of the Tomb,2014,"113,746,621","249,458,014","363,204,635"
Fast & Furious,2009,"155,064,265","208,100,000","363,164,265"
Ocean's Twelve,2004,"125,544,280","237,200,000","362,744,280"
Noah,2014,"101,200,044","261,437,429","362,637,473"
Planet of the Apes,2001,"180,011,740","182,200,000","362,211,740"
The Hangover Part III,2013,"112,200,072","249,800,000","362,000,072"
The World Is Not Enough,1999,"126,943,684","234,888,716","361,832,400"
Alvin and the Chipmunks,2007,"217,326,974","144,009,659","361,336,633"
The Karate Kid,2010,"176,591,618","182,534,404","359,126,022"
Home Alone 2: Lost in New York,1992,"173,585,516","185,406,165","358,991,681"
The Flintstones,1994,"130,512,915","228,000,000","358,512,915"
Hotel Transylvania,2012,"148,313,048","210,062,555","358,375,603"
Minority Report,2002,"132,072,926","226,300,000","358,372,926"
Top Gun,1986,"179,800,601","177,030,000","356,830,601"
The Legend of Tarzan,2016,"126,643,061","230,100,000","356,743,061"
American Beauty,1999,"130,096,601","226,200,000","356,296,601"
Kimi no na wa.,2016,"5,017,246","350,281,024","355,298,270"
Apollo 13,1995/I,"173,837,933","181,400,000","355,237,933"
Rain Man,1988,"172,825,435","182,000,000","354,825,435"
Dinosaur,2000,"137,748,063","216,500,000","354,248,063"
X: First Class,2011,"146,408,305","207,215,819","353,624,124"
Basic Instinct,1992,"117,727,224","235,000,000","352,727,224"
GoldenEye,1995,"106,600,000","245,764,093","352,364,093"
Angry Birds,2016,"107,509,366","244,824,563","352,333,929"
Catch Me If You Can,2002,"164,615,351","187,498,961","352,114,312"
Now You See Me,2013/I,"117,723,989","234,000,000","351,723,989"
Hannibal,2001,"165,092,268","186,600,000","351,692,268"
The Mask,1994,"119,938,730","231,644,677","351,583,407"
Who Framed Roger Rabbit,1988,"156,452,370","195,000,000","351,452,370"
The Great Gatsby,2013,"144,840,419","206,200,000","351,040,419"
Mamma Mia! Here We Go Again,2018,"120,634,935","229,900,000","350,534,935"
Speed,1994,"121,248,145","229,200,000","350,448,145"
Kingsman: The Golden Circle,2017,"100,199,005","250,246,899","350,445,904"
Deep Impact,1998,"140,464,664","209,000,000","349,464,664"
Fantastic Beasts: The Crimes of Grindelwald,2018,"159,555,901","189,823,252","349,379,153"
Once Upon a Time ... In Hollywood,2019,"142,494,147","206,400,000","348,894,147"
The Lorax,2012,"214,030,500","134,809,816","348,840,316"
The Maze Runner,2014,"102,427,862","245,891,999","348,319,861"
The Smurfs 2,2013,"71,017,784","276,527,576","347,545,360"
National Treasure,2004,"173,008,894","174,443,000","347,451,894"
Rush Hour 2,2001,"226,164,286","121,161,516","347,325,802"
"I, Robot",2004,"144,801,023","202,433,893","347,234,916"
Trolls,2016,"153,707,064","193,157,398","346,864,462"
Tomorrow Never Dies,1997,"125,332,007","221,300,000","346,632,007"
Pocahontas,1995/I,"141,600,000","204,479,773","346,079,773"
xXx: Return of Xander Cage,2017,"44,898,413","300,261,019","345,159,432"
How the Grinch Stole Christmas,2000,"260,044,825","85,096,578","345,141,403"
Star Trek: Beyond,2016,"158,848,340","184,623,476","343,471,816"
Ghostbusters,2016,"242,604,185","100,796,935","343,401,120"
Alvin and the Chipmunks: Chipwrecked,2011,"133,110,742","209,584,693","342,695,435"
Wanted,2008,"134,508,551","206,924,701","341,433,252"
Close Encounters of the Third Kind,1977,"169,100,479","171,700,000","340,800,479"
Enchanted,2007,"127,807,262","212,680,390","340,487,652"
300: Rise of an Empire,2014,"106,580,051","231,000,000","337,580,051"
Pokémon Detective Pikachu,2019,"144,099,313","193,400,000","337,499,313"
Batman Forever,1995,"184,031,112","152,500,000","336,531,112"
Over the Hedge,2006,"155,019,340","180,983,656","336,002,996"
Hong hai xing dong,2018,"510,000","335,000,000","335,510,000"
Journey 2: The Mysterious Island,2012,"103,860,290","231,400,000","335,260,290"
Prince of Persia: The Sands of Time,2010,"90,759,676","244,394,967","335,154,643"
The Rock,1996,"134,069,511","200,993,110","335,062,621"
The Great Wall,2016/I,"45,540,830","289,393,001","334,933,831"
Now You See Me 2,2016,"65,075,540","269,825,797","334,901,337"
Pacific Rim: Uprising,2018,"59,185,715","275,000,000","334,185,715"
The Curious Case of Benjamin Button,2008,"127,509,326","206,422,757","333,932,083"
Indiana Jones and the Temple of Doom,1984,"179,870,271","153,110,000","332,980,271"
Back to the Future Part II,1989,"118,500,000","213,500,000","332,000,000"
The Good Dinosaur,2015,"123,087,120","208,839,027","331,926,147"
22 Jump Street,2014,"191,719,337","139,614,539","331,333,876"
Meet the Parents,2000,"166,244,045","164,200,000","330,444,045"
Fantastic Four,2005/I,"154,696,080","175,424,795","330,120,875"
Black Swan,2010,"106,954,678","222,443,368","329,398,046"
Solo: A Star Wars Story,2018,"213,766,204","115,000,000","328,766,204"
The Perfect Storm,2000,"182,618,434","146,100,000","328,718,434"
Crocodile Dundee,1986,"174,803,506","153,400,000","328,203,506"
Murder on the Orient Express,2017,"102,800,191","225,400,000","328,200,191"
